Website,Aims/Objectives/Mission,Pin,Mobile,name,Phone,Purpose,Add.,Email,Contact Person
,"Future in Old Age Organization creat big organization of member for thire own life & future secure by organization, many scheme runing with any help by others, golden chance to make your dream true by present time to future time.",110017,91-98911 22821,Future in Old Age Organization,,Future in your hand,"371/2, Chirag Delhi
New Delhi",fi_oldage.org@gmail.com,Aklesh Kumar Bhardwaj
,"Committed to save earth, water and daughter.",110009,91-98111 25656,Gantavaya Sansthan,,,"368, Pradhan Marg, Nirankari Colony Civil Line
Delhi",arvind368@yahoo.com,Arvind Tyagi
http://www.gareebsewa.com,Overall Socio economic development of rural poor and Urban slum dwellers. Poverty alleviation through modern education and vocational training.,110075,91-93509 85566,Gareeb Sewa Society,,Social service,"21 A Adarsh Arya Apartments, 39 A Sector 6, Dwarka
New Delhi",gareebsewa1@gmail.com,Madan Lal Arya
,"Our ngo working in human right, child right, women empowerment, right to information, panchtiraj and child labour right.",110043,91-93501 38664,Garm Vikas Avm Samjik Badlav Kender,91-11-25015182,,"R-Z-B28, Kamla Park
Delhi",anilkumar_nzf@hotmail.com,Anil Kumar
,"Global Development Foundation is a registered non-profit organization established in 2008 by leading educationists, administrators, doctors, social workers, managers etc., with an object to meet to the emerging need for global development. Networking and public advocacy with professional and organizations. School advocacy.Our Operational Principles. Understand and meet the needs, desires, priorities, values, constraints, opinions and business principles of our host clients. Experienced-based knowledge and understanding of diverse population demographic segments who are isolated by cultural, language and other barriers, and how to effectively bridge those gaps. Matching Skilled People with the Needs.",110075,91-98103 15110,GDF – Global Development Foundation,91-11-25081022,"Health & education, disability, rural development.","B-803, New Cosmopolitan CGHS, 33, Sector 10 Dwarka
New Delhi",icmaindia@gmail.com,Raj Kumari
http://www.giftindia.org.in,To impart education to masses especially the downtrodden section of the society. To undertake measures for improving the health of the masses in general and weaker sections in particular. To work for the overall general betterment for the masses in rural and urban India.,110067,91-99588 45743,GIFT – Global Initiative for Transformation,91-11-26161596,Education and health for the masses.,"BB-4A, DDA Munirka, Udipi
New Delhi",giftindia@gmail.com,Dr. Shakeel A. Khan
,Working for legal awareness & human rights.,110092,91-80101 38093,Global Chamber of Justice,91-11-47603984,Legal awareness.,"A 159, Vikas Marg, Shakapur
Delhi",gcj.ngodelhi@rediffmail.com,S.P Bhardwaj
http://www.globaloverseas.in,We provide support to illitrate labour about their rights at the factory and control of child labour from the factory & their subunits.,110051,91-99584 04503,Global Overseas,,Social help,"9/4, Gali 1, West Laxmi Market
New Delhi",globaloverseas144@gmail.com,Mohammad Sajid Ansari
,"Cultural, education, health care, marriages of poor adult female, etc.",110092,"91-98910 21941, 91-99106 68757",Global View Trust,,,"F-278-A, Pandav Nagar
Delhi",global_view_trust@yahoo.com,"Mritunjay, Bipin"
,Our aim is to contribute our best afferts towords the nation/ mankind/ nature in terms of everything.,110030,91-98912 10605,Good Cause,,Social service,"D-60, Chhattarpu Enclave
New Delhi",good.cause2010@gmail.com,Neelam Tyagi
http://www.gorawelfare.com,"Our objective is to work for the cause and care of disadvantaged children and older persons and to improve their quality of life. The organization is founded on the firm belief that education is the fundamental right of every child and no child should be deprived of this basic right simply because he/she does not have access to it or does not have the resources to realize his/her dreams. Because education is both the means as well as the end to a better life means, because it empowers an individual to earn his/her livelihood and the end because it increases one’s awareness on a range of issues from health care to appropriate social behavior to understanding one’s rights – and in the process evolve as a better citizen.",110032,91-98112 09003,Gora Welfare Society,91-11-2354678,,"A 148, D.D.A. Flat, Mansarover Park Shahadra
Delhi",chairmangora@gmail.com,Madan Mohan Sharma
,"Education, health, NRM, water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care, microfinance programmes.",110043,91-92127 62144,Grameen Shiksha Avam Sahayata Association,91-11-28012307,"Education, health, women empowerment, child development, rural development, disability.","2 & 3, Rattan Dal Mill Complex, Mitraon Village
New Delhi",rehango@yahoo.com,Surender Singh Gahlot
,"To help to the land less old aged poor rural pepole whos childrens have left their parents alone and shifted in the metros for thier livelyhood, to help to the rural poor people for their development.",110002,91-99710 99070,Graminjan Kalyan Sansthan,,,"223/223, Deen Dayal Upadhyay Marg
New Delhi",graminjan@gmail.com,K.K.Upadhyay
http://www.glbgroup.org,I will give you later.,110094,91-99114 64522,Great Lord Buddha Educational & Social Welfare Society,,,"G-Block, Sonia Vihar, Main 25 Ft Road, Karawal Nagar
New Delhi",dointeracthr@indiatimes.com,Hitesh Kumar Anand
,To promote all global environmental activities to make a green world and social works for huminity.,110005,91-99289 03524,Green Earth Development Foundation,,Global environment and social work.,"Delhi
Delhi",sathyakaoshik6@gmail.com,Sathya Vrrat Kaoshik
,Clean Green Earth.,110025,91-98993 00371,Green Shield,,Environmental issues,"311/22, Zakir Nagar
New Delhi",greenshield.ngo@gmail.com,Saleem asraf
http://greenison.blogspot.com,Our vision is to make our planet a beautiful place to live by joining hands with the common man at both micro and macro levels. We work to save Earth by spreading awareness and doing grass-root level activities.,110088,91-99997 79885,Green Team Welfare Society,,Environment,"BG 36 (East), Shalimar Bagh
New Delhi",greenteamnewdelhi@gmail.com,Anubhav Rawat
http://www.greenleafindia.org,Greenleaf India is a non-profit organization committed to the cause of environment and socio-economic welfare of the rural and indigenous tribal people groups of India. Its primary purpose is to play an active role in the advancement and upliftment of the tribal people through environmental and social development.,110022,91-98738 68043,Greenleaf India,,Environmental and social development.,"626, Sector-3, RK Puram
New Delhi",gli@greenleafindia.org,Brando H Keivom
http://www.griefshare.co.cc,"Grief Share Health Society, a story of youngsters in age group 18 to 22 who dreamt of a better India. Who belive that no country is perfect but we can make it better. Who left thier professional courses, jobs, and began the toughest facet of their life to shair the pain of those who are the victims of AIDS, social evils, and those who are running short of blood.",110045,91-99904 34027,Grief Share Health Society,,"To help people surrerings from health problems, social evils etc.","RZ 226 A, Street 3
New Delhi",griefshare@live.com,President
,"Children are the future of our nation. Irrespective of the socio-economic background, every child has a right to education. To ensure that GHSNSSSC’s rural development program provides for educational assistance for the students of class nursery to 4th through remedial education program called school ke baad school (School After School). As such the provision of library, audio-visual room, computer laboratory, music classes, language class is there to enhance a childs’ personal growth. Also a child seldom gets guidance from anywhere and hence loses the interest in the studies.",110041,"91-92132 47209, 91-92890 75595",Gurudwara Hari Singh Nalwa Singh Sabha Sewa Committee,,Rural education.,"A-59, Dalip Vihar, Nilothi Extn
New Delhi",ghsnss@gmail.com,Satvinder Kaur
http://www.hamaravikas.org,"Hamara Vikas is a non-profit social welfare organization registered under society registration act of 1860. It was founded in 2003 with a mission to provide the innovative & lasting solutions to social problems across the country. It started activities with one non-formal child education & vocational training center for women in Lalkuan, New Delhi. In the last three years its activities have been broaden in the fields of occupational health/ public health (TB/ SILICOSIS), child development, employment generation, women empowerment, SHG formation & awareness programmes on different issues.",110049,91-98910 51851,Hamara Vikas,91-11-65669894,"Child development, Social Welfare","C-47, Chungi 2, MB Road, Lalkuan
New Delhi","vikasvimal@gmail.com, projectlalkuan@rediffmail.com","Vikas Vimal, P K Choudhary"
http://www.hamariyamuna.org,Save our water bodies & rivers.,110094,91-99994 78661,Hamari Yamuna Charitable Trust,,Save rivers,"Yamuna Pradushan Mukti Andolan, Delhi
Delhi",hamariyamuna@gmail.com,Kuldeep Gupta
,Provide education to poor children.,110031,91-98912 77906,Hans Vahini Educational & Social Welfare Society,,"Education, health, social welfare.","11/190, Gita Colony
Delhi",hansvahini.npo@gmail.com,Naresh Bhardwaj
,"Help in all over india for all needy persons for all aspects like as child & welfare, homes for old age & poor, education for poor children & adults etc.",110094,91-92687 95930,Happy Stars Educational & Welfare Society,,,"D-77, West Jyoti Nagar
Delhi",sushman1011@gmail.com,Sushma Yadav
,"Health services, blood donation, heart & kidney check up camps, help to weaker section, books and clothes to poors etc.",110089,91-93107 53932,Happy to Help Society,,Child welfare.,"B-3/25, Sector 16, Rohini
Delhi",happytohelp@in.com,Ruby Sharma
,"To help the poors and try to give them sheltter, food, clean water, education and clothering.",110032,"91-99101 24253, 91-98106 57687",HBSPSS – Her Bhajan Samaj Avam Paryawaran Seva Society,,Disability children.,"Delhi
Delhi",harbhajan.society@gamail.com,Rajni Ranjan Tiwari
,"To strengthen the intergenerational relationship, to make elderly healthy and happy, research on the issue of elderly.",110059,"91-98710 54552, 91-98710 54553",Healing Touch,,Elderly care,"W-Z-31, Santosh Park
New Delhi",healingtouchindia@gmail.com,Dr. Ashwani Raghav
http://www.hufindia.org,"To arrange and provide educational and technical articles equipments for poor and needy students, people to get thoroughly knowledge in their subjects and respective fields.",110085,91-98912 05786,Healthy Universe Foundation,,Health & education.,"Mahanagar house, F-12/28, Rohini
New Delhi",hufindia@gmail.com,Milan Kuchhal
http://www.helpandcareindiafoundation.org,To provide the society a plateform where any child having no cast barrier are being taught under one roof and sharing sentiments of various religion of the society together.,110068,91-98713 23456,Help and Care India Foundation,91-124-4061819,Providing education to the under privileged.,"14, CSC DDA Market, Anupam Apartment
New Delhi",infodesk@helpcareindiafoundation.com,"Nutan Sinha, L.B.Sinha"
,"The mission of Help to Help is to promote the importance of health, human rights and humanitarian issues, fundamental needs, and theuse of talents, contacts, and resources to bring practical solutions for the poors. Through its various programs, Help to Help works for peace, communal harmony, social development, youth, child and woman welfare, social justice and empowerment, education, health and self employment etc.",110092,91-93115 04354,Help to Help Social Welfare Society,,Social work,"14, Gali 14
Delhi",helptohelpindia@gmail.com,Navin Kumar Karn
,To make each and every citizen a literate and I.T. Professional.,110063,91-93500 38144,Helpco India,91-11-64156345,Free education & computer training to the poor.,"23/56, Sharbati Complex, Jwalaheri Market, Paschim Vihar
New Delhi",rajeshsharma63@indiatimes.com,Rajesh Kumar.S.
http://www.hindyugm.com,To promotion of Hindi through Internet and art association to it. Providing free education and all kind of information to rural children in their won languages.,110016,91-98737 34046,Hind – Yugm,,,"1, Jia Sarai
New Delhi",hindyugm@gmail.com,Shailesh Bharatwasi
,"Reduce the poverty, develop the education, our major objective for health checkup and medical camp.",110070,91-98714 75658,Holy World Foundation,91-11-6891322,"Health, education, rural development, old age care.","18, Yogmaya Appartment, Kishan Garh, Vasant Kunj
New Delhi",anandpidiha@yahoo.com,Anand Pidiha
,Health for all.,110006,91-98681 53862,Hope & Faith Foundation,,Child & woman health development,"1308, Gali-Guliyan
Delhi",hope.afaith@gmail.com,Anil Verma
http://www.hopein.org,Social activities.,110005,91-98101 50643,Hope International,91-11-23552388,"Education, health.","8599, East Park Road, Karol Bagh
New Delhi",hopeinternational@vsnl.com,Neeraj Bansal
http://www.humsafarngo.org,"To carry on the charity work for the benefit and welfare of society and communities consisting of the different stratas of society as identified from time to time as the deprived, down trodden, weakers sections/ minority groups – urban / rural, normal/ physically/ mentally challenged – men, women, children, and these stratas of the society may change, as targeted, from time to time, including stray animals also, as per the plan of action and strategies, revised and up dated To raise funds for the charity work ie. the welfare and benefit of the selected strata of the society as mentioned above, through donations obtained from individuals/ organizations/ non profit/ non government organizations etc. Humsafar’s vision includes opening up of a residential school for the mentally challenged children at delhi.",110032,"91-98916 18899, 91-97111 10732",Hum Safar,,To work towards the improvement of the society,"499 / 4, Chandan Bari, Bhola Nath Nagar, Shahdara
New Delhi",humsafar.ngo@gmail.com,"Jasneet Sharma, Khushboo Behel"
,"To provide better health & education, try to control population.",110016,91-99111 03557,Human Health & Development Society,,,"F-41, Katwaria Sarai
New Delhi",hhdsballia@rediffmail.com,Shushil Singh
,"Our mission our main aim is to help one & all the poor, needy and destitute, irrespect of any cast, creed, colour or religion distinction. How to meet our aim we intend to open schools, training centres, old people homes, orphanages and community centres. For this we shall be seeking the help of the Governments, the private agencies and NGO’s involved in the activities similar to that of ours. Our we arrange free medical check-up for heart cases, eyes, dental etc. We arrange awareness seminars for the women & girl child. We give guidance against dreaded the disease like",110018,"91-98188 86783, 91-98189 30100",Human Help & Care Charitable Trust,,Fund Raise,"JG3/5B, Vikas Puri
New Delhi",hhcct@hotamail.com,Pas. Mrs. Julie Smit
,To run adult education programe to organise blood donation camp to organise health check camp.,110018,91-99146 92951,Human Output Planning & Educational Society,,Welfare,"13/41, First Floor
New Delhi",hopes.india@yahoo.com,Arun Verma
http://www.hrmi.in,"Education, health, nrm, water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care.",110092,91-99530 09200,Human Rights Movement of India,91-11-22433212,Human rights.,"103, Tirupati Plaza, A 212 C Street 1, Shakarpur
Delhi",hrmindia1@hotmail.com,Yogesh Sharma
,"Promote social welfare irrespective of caste, creed and religion.",110022,91-98111 81144,Humanity Care First Foundation,,Welfare Society,"49, Vasant Place Market, R K Puram Set-6
New Delhi",info@cctvdelhi.com,Vijay Kumar
,TO provide education each & every person in all fild under one shelter.,110058,91-93111 64758,IGEM,91-11-303205,Education & welfare,"Wz 139 E, New Mahavir Nagar
Delhi",ami.kataria1@gmail.com,Amit Kataria
,To empower the youth and the women for self relaint development programme through enterprise route.,110020,"91-99718 74070, 98107 73414",Impartial Real Social Faith,,Social,"D 40, Harkesh Nagar, Okhla Tank
South Delhi",sanjaykumardhusia@ymail.com,"Santosh, Sanjay Kumar"
,"To recognize, protect and promote the rights of every child and place them on the centre stage for action and implementation. The society believes that there is a need to realise the human rights of children, especially children with disabilities or underprivileged through policy, action and implementation.",110009,91-98684 67457,IMROZ,91-11-23850911,"Child welfare, education, human rights, women’s issues","B-1/37 to 39, Ansals Building, Dr. Mukherji Nagar
Delhi",imroz.today@gmail.com,Sukumar Rathore
,Tweet,110088,91-95552 96654,Indian Army Fans,91-11-27497601,Awareness towards army.,"575, Street 6 Haider Pur, Ambedkar Nagar
New Delhi",gloriousindiandefenceforces@gmail.com,
http://www.icyo.in,"ICYO is working towards strengthening youth and community development by providing training and information. It is also playing a vital role in terms of identifying needs of rural and urban community based organisation in areas like adolescent health, population, environment and prevention of AIDS.",110029,"91-9811729093, 91-11-26183978",Indian Committee of Youth Organisation,,"Development(General), Disadvantaged communities, Environment, Health, Population, Training","Khare Apt, 194-A, Arjun Nagar, Safdarjung Enclave
New Delhi",icyo@icyo-india.org,Ravi Narayan
http://www.iqcglobal.net,To promote made in India in overseas market and bring new clients for Indian exporters.,110092,91-93113 84184,Indian Quality Centre for Trade Promotion,91-11-23241886,Promoting made in India.,"A 49, Preet Vihar
New Delhi",iqcorg@yahoo.co.in,"M. A. Majria, Mahendra Agarwal"
,To make sure that every youth here understand his/her responsibility for India and humanity.,110094,91-98999 64154,Indian Youth Jago,,Mind transformation.,"F 124 B, Street 3, Ganga Vihar
Delhi",erashwani@yahoo.co.in,Ashwani Bhardwaj
,"Education, tailoring, mehandi.",110027,91-88025 49879,Indoriya Jan Kalyan Samaj Sewa Sansthan,91-11-25446784,Society development.,"Basti Vikas Kendra R Block, Raghubir Nagar, Near Shivaji Enclave, Rajouri Garden
New Delhi",aadhunik.india@gmail.com,"D.K. Chauhan, Lallu Ram"
,"Health care, education etc.",110033,91-98718 43888,Inidan Welfare Society,,Health care,"864, Bhalswa
Delhi",ngo.ninan2000@gmail.com,Dr. L.S. Badal
,Tweet,110019,91-99993 77800,Integrated Society for Health & Community Development,,Rural health insurance development.,"C-3, Kairali Apartment, Street 27
New Delhi",ishcd@in.com,Rony V.P.
http://www.ilri.nl/icid/ciid.html,"ICID aims to stimulate and promote the development and application of the arts, sciences and techniques of engineering, agriculture, economics, ecology and social sciences in managing water and land resources for irrigation and drainage. It conducts research and training to control flood by adopting up-to-date techniques.",110021,icid@icid.org,International Commission on Irrigation & Drainage,"91-11-26116837, 91-11-26115962","Agriculture, Development(General), Environment, Sanitation, Sustainable Development, Water","48, Nyaya Marg
New Delhi",,C.D. Thatte
,"To help small artisans and handicraft producers, from remote villages and towns, for providing them markets and facilitating them to exporting their products at good rates. This would help artisans to raise their life and protect our traditional art and craft.",110049,91-98106 30533,International Trade Development Centre,,For developing relationship with other ngo’s and funding agencies.,"B-69, 2nd Floor, South Extn Part-I
New Delhi",itdcindia@gmail.com,K.N. Rai
,"ISARD is a national organization committed for sustainable community development programme through participatory and applied research, capacity building, and issue based interventions having its networking among urban slum dwellers and among people of rural and tribal areas with particular emphasis on health, education, training, community & gender empowerment and general social upliftment for the socially disadvantaged people at the grass root level.",110092,91-98683 81756,ISARD – Indian Society for Applied Research & Development,,,"Joshi Sadan, M-90, Jagat Ram Park
Delhi",isardorg@indiatimes.com,"Ajeet Prasad, Satish Kumar"
http://www.medwasteind.org,"Indian Society of Hospital Waste Management was formed in the year 2000, and has been having regular yearly conferences and seminars etc. Aim is to inculcate better management practices for health care waste management.",110078,91-93126 26462,ISHWM,91-11-28032767,Awareness.,"498, DDA Flats, Pocket 3 C, Sector 16 B, Dwarka
New Delhi",lkverma@medwasteind.org,Lalji K Verma
http://www.ismatimes.com,To spread humanity.,110066,91-98680 29086,ISMA – International Services for Mass Awareness,91-11-26185055,To spread humanity.,"E 128/2, Mohdammad Pur
New Delhi",news@ismatimes.com,Ismail
http://www.isolindia.org,"To develop and offer curriculum, programs, seminars and conferences that facilitate development of managerial excellence and work place ethos that nurture the spirit and dignity of all persons working in or being served by the organization. To develop and offer value based programs for self development and integral health management. To innovate, develop, validate and disseminate technologies supportive of spiritual dimension of sustainable development.",110085,91-98731 67484,ISOL Foundation,,Educational and social activities.,"Pocket A, 1/683
Delhi",info@isolindia.org,Sunita Singh Sengupta
,"All social work, women empowerment, right to information, panchayati raj, labour rights, human rights, child rights, health, education developmant, environment, agriculture.",110007,91-93100 05567,Jagdamba Charitable Foundation,,,"2277, Murli Wala Old Subji Mandi, Ghantaghar, North Delhi
Delhi",jcfoundation2000@yahoo.com,S.R.Tomar
http://www.jagojanta.org,Child & Old age person.,110084,91-98181 53030,Jago Janta Samiti,,,"7 Milan Vihar, Burari
Delhi",jagojantasamiti@gmail.com,Sunil Jha
http://www.jagranifoundation.org,"The objects for which this trust is established are to establish and develop institutions for the physically handicapped and disabled or mentally retarded persons and to provide them treatment, education, food, clothing or other help as well as general public at large. To provide vocational training, management training for self-employment and legal help to general public. To arrange and provide medical facilities of any or all types for general public at large. To engage in the activities for the welfare and up-liftment of down trodden women such as helpless, old aged and widows.",110060,91-95828 43984,Jagrani Foundation,91-11-25751671,Social welfare,"10/15, Basement, Old Rajender Nagar
New Delhi",info@jagranifoundation.org,Joy Singha Roy
,"To create a sense of unity, equality, achievement and caring in society while enhancing capability of the masses to access available infrastructure facilities, thus paving the way for equal opportunities, equal rights and other benefits to the people from the depressed economic segments.",110083,91-98101 54849,Jan Jagariti Educational Society,91-11-27868766,Value-based life-sustaining education and capacity building of the slum children.,"M-186, Mangol Puri
Delhi","janjagariti@yahoo.co.in, jjes@vsnl.com",Dharm Bir Singh
,"The organisation works for the overall development of the villages through awareness generation programmes, educating them about health care, sustainable activities, income generation and formation of village development committees of youth and women and Minor and backward communities.",110062,"91-93500 64397, 91-98917 22362",Jan Jyoti Foundation,,Education environment health woman’s issues.,"C-I/1045, New Delhi
New Delhi",ngojanjyoti@gmail.com,"Brhamdev, Deepak"
,"Woman & child education, Arts, Cultural, employment of women education, environment awareness etc.",110042,"91-93504 87911, 91-99687 94027",Jan Jyoti Jagriti Siksha & Kala Sansthan,,Social wellfare.,"2/160, Samta Vihar, Mukandpur II
Delhi",janjyotijagriti@yahoo.com,L K Sharma
http://www.jsssindia.org,"Jan Seva Evam Shikshan Sanstha to achieve excellence in education, social services for all around development of the nation and to make education as a tool for social change for the betterment of the society and to challenge the social inequalities and empower the vulnerable by enabling them to help themselves. To spread education / social services and to mobilize and harness the power of children, youth, women and people at large to combat illiteracy, ignorance, gender discrimination and the evil of addiction with an ultimate aim of crime prevention and development.",110045,91-98100 92780,Jan Seva Evam Shikshan Sanstha,,For all around development of the nation.,"RZ-T-22, Nanda Block
New Delhi",jsssindia@gmail.com,Abhishek Kumar
,We have started this organisation to work for an exploitation free egalitarian society. We working against any kind of exploitation specially of laborers and poor villagers.,110045,91-98680 18995,Jan Sewa Sangharsh Samiti,,Empowerment of unpreviledged,"B-24, Mangla Puri
New Delhi",gautamshriom@gmail.com,Shriom Gautam
,"Jan Surabhi Welfare Society is non political, non profit social organisation registered with registrar of society, Delhi 19th March, 2007 working area of this society is all over India. Our society works in the field of Sanitation, women and child welfare, health awareness programme like hiv / aids, helps slum children and poor children for schooling. Looking forward more work and funds for above mentioned social work.",110045,91-98183 78749,Jan Surabhi Welfare Society,91-11-30622927,,"H 3/123, 302, Bengali Colony, Mahavir Enclave
New Delhi",jansurabhiwelfaresociety@gmail.com,Rajiv Thakur
http://www.janudayindia.org,"Jan Uday Foundation provides integrated solutions to complex problems in diverse areas of Environment, Health and Social Development. The core focal issues being addressed by us are urban solid waste management, sanitation, water resources, health system, rural development, livelihood & improvement of urban slums, forestry and eco-development.",110060,"91-98688 25876, 91-94128 34186",Jan Uday Foundation,,Social work,"30/31, Basement, Old Rajender Nagar
New Delhi",jan_uday@yahoo.com,Sanjay Rana
http://www.janhitmission.com,"Help for job seekers, senior citizens, poor child.",110092,91-98977 56433,Janhit Mission,91-11-22544000,Contribution of services,"MB-1D, Shakarpur Extn., Madhuwan Road, opp. PNB Bank
New Delhi",contact@janhitmission.com,Suman Singh
,"Women, child, old age and others help and guidens in education, awareness, women empowerment, child development, rural development.",110092,91-98915 49641,JANSANSKRITI,,,"E 39, Vikas Marg, Luxmi Nagar
Delhi",Jansanskriti@gmail.com,Trilok Kumar Jha
http://www.janshringo.bloombiz.com,Upliftment of downtrodden women and other child and women related issues.,110092,91-78383 16169,JANSHRI,91-11-22543205,"Education, health, women empowerment, child development.","116, ABC Complex, Veer Savarkar Block, Shakarpur, Vikas Marg
Delhi",janshri@gmail.com,Jyoti Sehgal
,JDODA is registered under society regd act 1860 under petronage of like minded people like oddasi exponent mrs k. Dewadi and other. The main objective of this organation is to teach urban and rural poor and eliteindian classical dances freeof cost and creat a poll of young telented artists.,110004,91-99100 58071,JDODA – Jamani Devi Oddasi Dance Association,,To teach pure oddasi classical dance to the young artists side by sideto teach other indian classica.,"2 of 1/4, Schedule – B, Gate 30
New Delhi",jdoda05@yahoo.co.in,Manorama Nayak Bisoi
,"Distroy porty, incrise education, camps, hospitality, school activities, blood camping, free english speaking, abacus class, and many more and mission is no one can grow without education, and no one can stop education without money we are always with people.",110065,91-99903 36747,Jeevan Jyot,91-11-40624137,Share education & knowledge & pubic helping.,"336, Sant Nagar, East of Kailash
New Delhi",h_gesco@yahoo.com,Hardik Mehta
,To spread education of all types. Promotion of non-violence. Conducting vocational programme to make people self dependent. To organize cultural programs and to serve people who are difficulty due to natural disaster.,110075,91-92124 77879,Jeewan Educational & Development Society,,To spread education of all types. Promotion of non-violence. Conducting vocational programme to make.,"82, L.I.G, DDA Flat, GF
New Delhi",ashishkhanna1@hotmail.com,Madan Lal
http://www.jeyemfoundation.org,"Create spaces for participation and development for men, women, youth, children, elderly and the differently abled sections of the population. Practice and promote environmental leadership. Ensure integrated natural resource management and poverty eradication through sustainable livelihood promotion. Mainstream gender in development process. Ensure preventive and promotive health and well being of people in the communities.",110095,91-93113 59487,Jeyem Foundation,91-11-32679433,Everyone on the winning side of life.,"125 D, Satyam Enclave, Jhilmil Colony
New Delhi",jeyem.foundation@gmail.com,Jince Michael
http://www.johnsseniorcitizens.org,"To fulfil our moral resposibility towards parents. Provide a home away from home for elders who do not have the privilege of living with their children. To provide a safe, clean place with food, medicines, personal care and above all love, support and company.",110047,91-98716 88997,Johns Daycare and Boarding for Senior Citizens Association,91-11-26501513,Old age care,"106, G Block, Phase 6, Aya Nagar
New Delhi",johns_betterworld@rediffmail.com,Bessie Mathew
http://www.justhelp.in,"We trying to distribute food to those peoples who is not able to purchase food grains, vegitable & etc.",110019,91-98995 28245,Just Help,91-11-64726379,Help poor peoples,"3/18, Nehru Enclave, Kalka Ji Extn.
New Delhi",adi_kr007@yahoo.co.in,Arvind
http://www.jwcds.org,"Education, health, NRM, Water, women empowerment, child development, rural development, disability, agriculture, old age care, animal care.",110045,"91-98105 87354, 91-97171 11053",Jyoti Women & Children Development Society,91-11-25081093,"Education, health, women empowerment, child development, rural development, SHG.","WZ – 4A Palam Village, South West
New Delhi",jwcds_office@yahoo.com,Sunil Shrama
,"To protect the human rights, child labour, woman development, educational improve in slam area, etc.",110033,91-98180 07433,Kalam Bachao Abhiyan Samiti,,Save human rights.,"L-14/1, Gali 25
Delhi",avinash_sarthakacademy@yahoo.com,Avinash Kumar Singh
,Vocational training for poor students.,110085,91-93122 58665,Kalyan Educational Vocational Avam Social Sanstha,,,"G-22-63 Sector-7, Rohini
New Delhi",omniadv@rediffmail.com,Ajay Kumar Pandey
,"Housing development, education, health.",110032,91-98990 19112,Kalyan Samiti,,Welfare,"A-90, Street 3, New Modern Shahdara
Delhi",kalyansamiti@gmail.com,Satish Kumar Mittal
,"Kamat Sewa Sansthan the empowerment of women in rural Delhi. It focuses on social and economic development by using new technology, process. It highlight critical related to the lives of women. It has specifically initiated campaihns for securing legal and social right for women.",110065,91-98183 02083,Kamat Sewa Sansthan,,"Child welfare, health, micro-enterprises, rural developement, women’s issues, NRM water, old age care.","S-84/52, Karpuri Thakur, Janjeewan Camp, Sri Niwas Pur
New Delhi",kumarwk@yahoo.in,W.K.Kamat
,Education to all.,110042,91-98186 24391,Kanchan Foundation,,Education,"345, Shahbad Daulatpur, Main Bawana Road
Delhi",mukeshgupta@dce.ac.in,Mukesh Gupta
http://www.kssocialwelfaresociety.info,"We will envisage to bring to light the vision of creating a web of humanity where each one holds the thread of faith, hope and love and the power to make this world a better place for you and for me and the entire human race. Our aim is to educate people about road safety and the importance of life.",110075,"91-98109 96891, 91-99586 81333",Karan Sharma Social Welfare Society,,Road safety education and life skill programs.,"11-D, DDA Flats, Sector 10 Pkt-1, Dwarka
New Delhi",ksswsociety@gmail.com,"Kavita Sharma, Yash Sharma"
,Tweet,110054,91-93124 97669,KARMBHUMI,,,"North Delhi
North Delhi",dr_anand_vibhuti@yahoo.co.in,
,"Development related fields, education for all, free education for girls, adult education, health, agriculture, rural health & urban health, population, housing, efforts for the protection, promotion & for the advancement of women, children, old-aged,handicapped, orphans, widows, destitute & mentally retarded persons, to make best efforts to uplift poor people,to provide legal medical aid,social econimic help & assistance to the needy people, women empowerment, labour rights, emergency relief to people in trouble, human rights.",110087,91-99999 79403,Kartavya Janhit Foundation,,Service to mankind,"Richmondd Global School, NS Road, Mianwali Nagar, Paschim Vihar
New Delhi",kartavya.janhitfoundation@gmail.com,Rishabh Gupta
http://www.ksws.org.in,Our aim is to give proper medical care as well as proper education to orphen & street childern. We are also working for helpless women in any form.,110065,91-99997 31113,Karuna Sai Welfare Society,91-11-26294212,To make heathy & educated orphen and street children.,"243/10, Main Market Garhi East of Kailash, Near Iskcon Temple
New Delhi",help@ksws.org.in,Ravi Agarwal
,"To serve the people, to protect environment health and education.",110001,91-98685 87376,Kashyap Nishad Vikash Manch,,"To aware for our society, to serve people.","212-D, LIG, DDA Flat, Rani Jhansi Complex, Motiakhan, Pahar Ganj
New Delhi",kashyapnishad@hotmail.com,S.K.Kashyap
,"Our main objective is education, child development, environment, women development and minorities awareness programme.",110053,91-98683 87083,Kaushalya Foundation,,Social work.,"B-1/266, Yamuna Vihar
New Delhi",Nagesh_yaduvanshi@rediffmail.com,Nageshwar
http://www.khushbuorg.com,"Social welfare, vocational, environment, hiv aids & old age, handicapted people.",,91-98104 46391,Khushbu Vikas Sahyogi Samiti,,,"13-B/1, Bareja Mkt, Mathura Road, Badarpur
New Delhi",khushbu45295org@gmail.com,Rakesh Kohli
,"Save child, save culture, save nation.",110007,91-99905 15483,Khushhali,,Education.,"North Delhi
North Delhi",khushhali_parivar@yahoo.com,Sonu Singh
